file|site|owner|founded|alexa_us_traffic_stats|rank|url|traffic_stats|notes
Local Data Base.html|Local Data Base|Private|11 years|49.324|6| http://www.localdatabase.com/|3150 Visit Per Day, 15,000 Pages View Per Day|Partners with Yext
MojoPages.html|MojoPages|Private|2006|5,360|7|http://www.mojopages.com|75,000 Daily Visators|Mojopages has there own algo that gives a business a mojo score
Hyplo.html|Hyplo|Private|2011|762,210|1|http://www.hyplo.com|200 Daily Vistors|Hyplo.com is a Hyperlocal directory.
aol local.html|aol local| Aol|1991|17|7| http://www.aol.com/local/|18 Million Page View Per Day |AOL Local, comprising its CityGuide, Yellow Pages and Local Search services to help users find local information like restaurants, local events, and directory listings.
Merchant Circle.html|Merchant Circle|Private|2005|656|8| http://www.merchantcircle.com/root|290,000 Vistors Per Day|  The company claims it has pre-populated its local business directory with 20 million business listings including details such as address, phone number and a map – this is not an uncommon practice amongst online directory sites.
Manta.html|Manta|ECnext|2005|247|6|http://www.manta.com|30 Million Uniques per month|   3,000 new business owner members every day. Because of this growth, Manta was been named in the Top 100 Most Valuable Private Internet Companies
E Business Pages.html|E Business Pages|Private|2007|213,172|3| http://www.gomylocal.com/|2,217 Daily Vistors|
citygrid.html|citygrid|Subsidiary of IAC|2010|13,487|5|http://www.citygrid.com|14 Million Uniques Per Month|Developers on the platform Where, Bing, City.com, MyCityWay, Local.com, Yellow Pages, Super Pages, Judy's Book, Mapquest
Judy's Book.html|Judy's Book|Private|2004|13,533|5| http://www.judysbook.com/|15,000 Visits Today, 85,000 Pages Visits per day.|
Yelp.html|Yelp|Public Company|2004|43|8|http://www.yelp.com|71 Million Unique Vistors Per Month|
Local Census.html|Local Census|||||||
